Pos-1,Pos-2,Pos-3,Pos-4,Pos-5,Pos-6,Pos-7,Pos-8,Pos-9,Pos-10,Pos-11,Pos-12,Pos-13,Pos-14,Pos-15,Pos-16,Pos-17
the,aardvark,is,a,mammal,from,africa,.,.,.,.,.,.,.,.,.,.
it,is,the,only,living,member,in,its,order,.,.,.,.,.,.,.,.
though,some,fossil,genera,have,been,found,.,.,.,.,.,.,.,.,.,.
the,aardvark,look,-s,a,bit,like,the,south,america,-n,anteater,.,.,.,.,.
but,they,are,not,related,.,.,.,.,.,.,.,.,.,.,.,.
it,is,in,a,propose,-d,clade,with,the,golden,moles,.,.,.,.,.,.
another,proposal,is,to,put,it,in,the,pseudungulata,with,the,elephant,-s,.,.,.,.
adult,aardvark,-s,weigh,about,six,-ty,kilograms,.,.,.,.,.,.,.,.,.
adult,-s,are,a,little,more,than,one,meter,long,.,.,.,.,.,.,.
it,is,the,large,-st,member,of,this,clade,.,.,.,.,.,.,.,.
the,aardvark,is,pale,yellowish,gray,in,color,.,.,.,.,.,.,.,.,.
it,is,often,stained,reddish,brown,by,soil,.,.,.,.,.,.,.,.,.
the,aardvark,-s,fur,is,thin,.,.,.,.,.,.,.,.,.,.,.
its,hair,is,short,on,its,head,and,tail,.,.,.,.,.,.,.,.
aardvark,-s,are,found,in,sub,saharan,africa,.,.,.,.,.,.,.,.,.
they,are,found,in,al-,most,ever,-y,country,in,sub,saharan,africa,.,.,.,.
aardvark,-s,most,-ly,eat,termite,-s,.,.,.,.,.,.,.,.,.,.
they,have,a,long,sticky,tongue,.,.,.,.,.,.,.,.,.,.,.
this,make,-s,it,easy,to,pick,up,many,termite,-s,at,once,.,.,.,.
the,only,fruit,that,aardvark,-s,eat,is,the,aardvark,cucumber,.,.,.,.,.,.
aardvark,-s,are,nocturnal,.,.,.,.,.,.,.,.,.,.,.,.,.
this,mean,-s,they,are,awake,at,night,and,a-,sleep,during,the,day,.,.,.
the,aardvark,is,a,good,swimmer,.,.,.,.,.,.,.,.,.,.,.
it,can,dig,a,tunnel,that,is,one,yard,in,about,five,minutes,.,.,.,.
aardvark,-s,live,for,up,to,twenty,three,year,-s,in,captivity,.,.,.,.,.
it,has,many,predator,-s,such,as,hyenas,and,python,-s,.,.,.,.,.,.
some,human,-s,also,hunt,aardvark,-s,for,meat,.,.,.,.,.,.,.,.
aardvark,-s,can,dig,fast,or,run,in,a,zigzag,to,confuse,predator,-s,.,.,.
aardvark,-s,only,come,together,to,breed,.,.,.,.,.,.,.,.,.,.
the,gestation,period,is,seven,month,-s,.,.,.,.,.,.,.,.,.,.
they,give,birth,to,one,cub,which,is,what,a,baby,aardvark,is,call,-ed,.,.
after,two,weeks,it,is,able,to,leave,the,burrow,to,follow,its,mother,.,.,.
after,nine,weeks,it,is,able,to,eat,termite,.,.,.,.,.,.,.,.
it,is,weaned,between,three,month,-s,and,sixteen,weeks,.,.,.,.,.,.,.
at,six,month,-s,it,is,able,to,dig,its,own,burrow,-s,.,.,.,.
it,will,often,stay,with,the,mother,until,the,next,mating,season,.,.,.,.,.
an,armadillo,is,in,the,cingulata,an,order,of,new,world,placenta,-l,mammal,-s,.,.
the,living,one,-s,have,a,leather,-y,armored,shell,.,.,.,.,.,.,.
there,are,about,ten,living,genera,.,.,.,.,.,.,.,.,.,.,.
there,are,about,twenty,species,of,armadillo,.,.,.,.,.,.,.,.,.,.
their,average,length,is,about,seven,-ty,five,centi,meter,-s,including,the,tail,.,.,.
the,giant,armadillo,grow,-s,up,to,one,hundred,cm,and,weigh,thirty,kg,.,.,.
all,species,live,in,the,america,-s,.,.,.,.,.,.,.,.,.,.
armadillo,-s,species,are,most,-ly,found,in,south,and,central,america,.,.,.,.,.
be-,cause,they,are,al-,ways,genetic,-ally,identical,clones,the,group,of,four,young,.,.
this,is,a,good,subject,for,scientific,behaviour,-al,or,medical,tests,.,.,.,.,.
they,provide,the,same,biological,and,genetic,makeup,and,the,-n,get,different,treatment,.,.,.
this,is,the,only,regular,case,of,polyembryony,in,the,class,mammal,-ia,.,.,.,.
one,fertilised,egg,split,-s,into,four,embryos,.,.,.,.,.,.,.,.,.
it,doe,-s,not,happen,in,all,armadillo,-s,.,.,.,.,.,.,.,.
bear,-s,are,a,group,of,large,mammal,-s,.,.,.,.,.,.,.,.
they,are,found,all,over,the,world,in,many,different,habitat,-s,.,.,.,.,.
they,form,the,family,ursidae,in,the,sub,order,caniformia,of,the,order,carnivora,.,.,.
bear,-s,usually,have,a,big,body,with,short,and,thick,legs,.,.,.,.,.
they,have,a,broad,head,and,a,very,short,tail,.,.,.,.,.,.,.
they,have,small,eye,-s,and,round,ear,-s,.,.,.,.,.,.,.,.
they,usually,have,long,-er,shaggy,fur,.,.,.,.,.,.,.,.,.,.
on,each,foot,they,have,five,claws,which,they,can,not,pull,back,.,.,.,.
they,use,their,claws,for,digging,climb,-ing,and,hunt,-ing,.,.,.,.,.,.
they,can,stand,up,on,their,back,legs,and,their,front,paw,-s,are,flexible,.,.
usually,bear,-s,can,climb,and,swim,very,well,.,.,.,.,.,.,.,.
male,-s,are,usually,bigger,than,fe-,male,-s,.,.,.,.,.,.,.,.
most,bear,-s,except,the,giant,panda,are,only,one,color,.,.,.,.,.,.
bear,-s,do,not,have,good,hear,-ing,.,.,.,.,.,.,.,.,.
they,have,power,-ful,sense,-s,of,smell,and,sight,.,.,.,.,.,.,.
they,have,good,sight,.,.,.,.,.,.,.,.,.,.,.,.,.
they,can,see,color,-s,which,is,different,from,other,carnivores,.,.,.,.,.,.
bear,-s,most,-ly,use,their,sense,of,smell,to,know,what,is,a-,round,them,.
they,can,smell,better,than,dog,-s,.,.,.,.,.,.,.,.,.,.
they,are,most,-ly,active,at,night,except,for,the,polar,bear,.,.,.,.,.
