Pos-1,Pos-2,Pos-3,Pos-4,Pos-5,Pos-6,Pos-7,Pos-8,Pos-9,Pos-10,Pos-11,Pos-12,Pos-13,Pos-14,Pos-15,Pos-16,Pos-17
once,upon,a,time,there,was,a,little,girl,call,-ed,alice,.,.,.,.,.
and,she,had,a,very,curious,dream,.,.,.,.,.,.,.,.,.,.
would,you,like,to,hear,what,it,was,that,she,dream,-ed,about,.,.,.,.
well,this,was,the,first,thing,that,happen,-ed,.,.,.,.,.,.,.,.
a,white,rabbit,came,running,by,in,a,great,hurry,.,.,.,.,.,.,.
and,just,as,it,passed,alice,it,stop,-ped,.,.,.,.,.,.,.,.
it,took,its,watch,out,of,its,pocket,.,.,.,.,.,.,.,.,.
was,-nt,that,a,funny,thing,.,.,.,.,.,.,.,.,.,.,.
did,you,ever,see,a,rabbit,that,had,a,watch,.,.,.,.,.,.,.
and,it,has,a,pocket,to,put,it,in,.,.,.,.,.,.,.,.
of,course,when,a,rabbit,has,a,watch,.,.,.,.,.,.,.,.,.
it,must,have,a,pocket,to,put,it,in,.,.,.,.,.,.,.,.
it,would,never,carry,it,about,in,its,mouth,.,.,.,.,.,.,.,.
and,it,want,-s,its,hand,-s,sometimes,to,run,about,with,.,.,.,.,.
has,-nt,it,got,pretty,pink,eye,-s,.,.,.,.,.,.,.,.,.
and,you,can,just,see,its,red,pocket,handkerchief,peeping,out,of,its,coat,pocket,.,.
and,what,is,with,its,blue,necktie,and,its,yellow,waistcoat,.,.,.,.,.,.
it,real,-ly,is,very,nice,-ly,dressed,.,.,.,.,.,.,.,.,.
oh,dear,oh,dear,said,the,rabbit,.,.,.,.,.,.,.,.,.,.
i,shall,be,too,late,.,.,.,.,.,.,.,.,.,.,.,.
what,would,it,be,too,late,for,i,wonder,.,.,.,.,.,.,.,.
well,you,see,it,had,to,go,and,visit,the,duchess,.,.,.,.,.,.
you,will,see,a,picture,of,the,duchess,soon,sitting,in,her,kitchen,.,.,.,.
and,the,duchess,was,a,very,cross,old,lady,.,.,.,.,.,.,.,.
and,the,rabbit,knew,she,-d,be,very,angry,indeed,if,he,kept,her,wait,-ing,.
so,the,poor,thing,was,as,frighten,-ed,as,frighten,-ed,could,be,.,.,.,.
dont,you,see,how,hes,trembling,.,.,.,.,.,.,.,.,.,.,.
just,shake,the,book,a,little,from,side,to,side,.,.,.,.,.,.,.
and,you,will,soon,see,him,tremble,.,.,.,.,.,.,.,.,.,.
because,he,thought,the,duchess,would,have,his,head,cut,off,for,a,punishment,.,.,.
that,was,what,the,queen,of,heart,-s,use,-d,to,do,.,.,.,.,.
when,she,was,angry,with,people,.,.,.,.,.,.,.,.,.,.,.
you,will,see,a,picture,of,her,soon,.,.,.,.,.,.,.,.,.
at,least,she,use,-d,to,order,their,head,-s,to,be,cut,off,.,.,.
and,she,always,thought,it,was,done,.,.,.,.,.,.,.,.,.,.
although,they,never,real,-ly,did,it,.,.,.,.,.,.,.,.,.,.
and,so,when,the,white,rabbit,ran,a-,way,.,.,.,.,.,.,.,.
alice,want,-ed,to,see,what,would,happen,to,it,.,.,.,.,.,.,.
so,she,ran,after,it,.,.,.,.,.,.,.,.,.,.,.,.
and,she,ran,and,she,ran,.,.,.,.,.,.,.,.,.,.,.
until,she,tumbled,right,down,the,rabbit,hole,.,.,.,.,.,.,.,.,.
and,then,she,had,a,very,long,fall,indeed,.,.,.,.,.,.,.,.
down,and,down,and,down,till,she,began,to,wonder,.,.,.,.,.,.,.
if,she,was,going,right,through,the,world,so,as,to,come,out,on,the,other,side
it,was,just,like,a,very,deep,well,.,.,.,.,.,.,.,.,.
only,there,was,no,water,in,it,.,.,.,.,.,.,.,.,.,.
but,you,know,it,does,-nt,hurt,a,bit,to,fall,in,a,dream,.,.,.
because,all,the,time,you,think,you,are,fall,-ing,.,.,.,.,.,.,.
you,real,-ly,are,lying,some,where,safe,and,sound,and,fast,asleep,.,.,.,.
how,ever,this,terrible,fall,came,to,an,end,at,last,.,.,.,.,.,.
and,down,came,alice,on,a,heap,of,stick,-s,and,dry,leave,-s,.,.,.
but,she,was,-nt,a,bit,hurt,.,.,.,.,.,.,.,.,.,.
and,up,she,jump,-ed,.,.,.,.,.,.,.,.,.,.,.,.
and,she,ran,after,the,rabbit,again,.,.,.,.,.,.,.,.,.,.
and,so,that,was,the,beginning,of,alice,-s,curious,dream,.,.,.,.,.,.
and,next,time,when,you,see,a,white,rabbit,.,.,.,.,.,.,.,.
try,and,fancy,your,-e,going,to,have,a,curious,dream,.,.,.,.,.,.
just,like,dear,little,alice,.,.,.,.,.,.,.,.,.,.,.,.
and,so,after,alice,had,tumbled,down,the,rabbit,hole,.,.,.,.,.,.,.
and,she,had,run,a,long,long,way,under,ground,.,.,.,.,.,.,.
all,of,a,sudden,she,found,herself,in,a,great,hall,with,door,-s,all,round,it
but,all,the,door,-s,were,lock,-ed,.,.,.,.,.,.,.,.,.
so,you,see,poor,alice,could,-nt,get,out,of,the,hall,.,.,.,.,.
and,that,mad,-e,her,very,sad,.,.,.,.,.,.,.,.,.,.
how,ever,after,a,little,while,she,came,to,a,little,table,.,.,.,.,.
it,was,all,mad,-e,of,glass,with,three,leg,-s,.,.,.,.,.,.
there,are,two,of,the,leg,-s,in,the,picture,.,.,.,.,.,.,.
and,just,the,beginning,of,the,other,leg,do,you,see,.,.,.,.,.,.
and,on,the,table,was,a,little,key,.,.,.,.,.,.,.,.,.
and,she,went,round,the,hall,.,.,.,.,.,.,.,.,.,.,.
and,tried,to,see,if,she,could,un-,lock,any,of,the,door,-s,with,it,.
the,key,would,-nt,un-,lock,any,of,the,door,-s,.,.,.,.,.,.
but,at,last,she,came,upon,a,tiny,little,door,.,.,.,.,.,.,.
and,oh,how,glad,she,was,when,she,found,the,key,would,fit,it,.,.,.
so,she,un-,lock,-ed,the,tiny,little,door,.,.,.,.,.,.,.,.
and,she,stoop,-ed,down,and,look,-ed,through,it,.,.,.,.,.,.,.
and,what,do,you,think,she,saw,.,.,.,.,.,.,.,.,.,.
oh,such,a,beautiful,garden,.,.,.,.,.,.,.,.,.,.,.,.
and,she,took,so,long,to,go,into,it,.,.,.,.,.,.,.,.
but,the,door,was,far,too,small,.,.,.,.,.,.,.,.,.,.
she,could,-nt,squeeze,herself,through,.,.,.,.,.,.,.,.,.,.,.
any,more,than,you,could,squeeze,yourself,into,a,mouse,hole,.,.,.,.,.,.
so,poor,little,alice,lock,-ed,up,the,door,.,.,.,.,.,.,.,.
and,took,the,key,back,to,the,table,again,.,.,.,.,.,.,.,.
and,this,time,she,found,quite,a,new,thing,on,it,.,.,.,.,.,.
now,look,at,the,picture,again,.,.,.,.,.,.,.,.,.,.,.
and,what,do,you,think,it,was,.,.,.,.,.,.,.,.,.,.
it,was,a,little,bottle,with,a,label,tie,-d,to,it,.,.,.,.,.
it,had,the,word,-s,drink,me,on,the,label,.,.,.,.,.,.,.
and,it,was,very,nice,.,.,.,.,.,.,.,.,.,.,.,.
so,she,set,to,work,and,drank,it,up,.,.,.,.,.,.,.,.
and,then,such,a,curious,thing,happen,-ed,to,her,.,.,.,.,.,.,.
you,will,never,guess,what,it,was,.,.,.,.,.,.,.,.,.,.
so,i,shall,have,to,tell,you,.,.,.,.,.,.,.,.,.,.
she,got,small,-er,and,small,-er,.,.,.,.,.,.,.,.,.,.
till,at,last,she,was,just,the,size,of,a,little,doll,.,.,.,.,.
then,she,said,to,herself,.,.,.,.,.,.,.,.,.,.,.,.
now,im,the,right,size,to,get,through,the,little,door,.,.,.,.,.,.
and,a-,way,she,ran,.,.,.,.,.,.,.,.,.,.,.,.
but,when,she,got,there,the,door,was,lock,-ed,.,.,.,.,.,.,.
and,the,key,was,on,the,top,of,the,table,.,.,.,.,.,.,.
and,she,could,-nt,reach,it,.,.,.,.,.,.,.,.,.,.,.
was,-nt,it,a,pity,she,had,lock,-ed,up,the,door,again,.,.,.,.
well,the,next,thing,she,found,was,a,little,cake,.,.,.,.,.,.,.
and,it,had,the,word,-s,eat,me,mark,-ed,on,it,.,.,.,.,.
so,of,course,she,set,to,work,and,ate,it,up,.,.,.,.,.,.
and,then,what,do,you,think,happen,-ed,to,her,.,.,.,.,.,.,.
no,you,will,never,guess,.,.,.,.,.,.,.,.,.,.,.,.
i,shall,have,to,tell,you,again,.,.,.,.,.,.,.,.,.,.
she,grew,and,she,grew,and,she,grew,.,.,.,.,.,.,.,.,.
tall,-er,than,she,was,before,.,.,.,.,.,.,.,.,.,.,.
tall,-er,than,any,child,.,.,.,.,.,.,.,.,.,.,.,.
tall,-er,than,any,grow,-n,up,person,.,.,.,.,.,.,.,.,.
tall,-er,and,tall,-er,and,tall,-er,.,.,.,.,.,.,.,.,.
just,look,at,the,picture,.,.,.,.,.,.,.,.,.,.,.,.
and,you,will,see,how,tall,she,got,.,.,.,.,.,.,.,.,.
which,would,you,have,like,-d,the,best,.,.,.,.,.,.,.,.,.
do,you,think,to,be,a,little,tiny,alice,no,large,-r,than,a,kitten,.,.
or,a,great,tall,alice,with,you,-r,head,always,knock,-ing,again,-st,the,ceiling,.
perhaps,you,think,alice,must,have,been,very,much,please,-d,.,.,.,.,.,.
when,she,had,eat,-en,the,little,cake,.,.,.,.,.,.,.,.,.
to,find,herself,grow,-ing,so,tremendous,-ly,tall,.,.,.,.,.,.,.,.
